step,fraud_count
1,16.0
2,8.0
3,4.0
4,10.0
5,6.0
6,22.0
7,12.0
8,12.0
9,19.0
10,11.0
11,7.0
12,14.0
13,14.0
14,12.0
15,20.0
16,10.0
17,7.0
18,16.0
19,11.0
20,4.0
21,5.0
22,23.0
23,2.0
24,6.0
25,18.0
26,12.0
27,8.0
28,4.0
29,4.0
30,8.0
31,12.0
32,12.0
33,12.0
34,22.0
35,15.0
36,19.0
37,13.0
38,16.0
39,12.0
40,14.0
41,12.0
42,14.0
43,13.0
44,8.0
45,16.0
46,14.0
47,21.0
48,10.0
49,4.0
50,6.0
51,14.0
52,8.0
53,10.0
54,4.0
55,12.0
56,18.0
57,6.0
58,20.0
59,20.0
60,12.0
61,14.0
62,8.0
63,8.0
64,18.0
65,20.0
66,24.0
67,6.0
68,18.0
69,20.0
70,6.0
71,20.0
72,14.0
73,8.0
74,22.0
75,8.0
76,4.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,12.0
84,16.0
85,14.0
86,18.0
87,6.0
88,8.0
89,6.0
90,16.0
91,8.0
92,10.0
93,16.0
94,12.0
95,14.0
96,4.0
97,10.0
98,14.0
99,8.0
100,6.0
101,12.0
102,12.0
103,8.0
104,14.0
105,18.0
106,18.0
107,10.0
108,8.0
109,12.0
110,10.0
111,10.0
112,2.0
113,6.0
114,4.0
115,10.0
116,14.0
117,12.0
118,12.0
119,10.0
120,12.0
121,14.0
122,14.0
123,6.0
124,4.0
125,10.0
126,6.0
127,14.0
128,8.0
129,6.0
130,6.0
131,16.0
132,10.0
133,10.0
134,10.0
135,8.0
136,10.0
137,12.0
138,4.0
139,4.0
140,14.0
141,8.0
142,8.0
143,16.0
144,10.0
145,14.0
146,10.0
147,6.0
148,12.0
149,22.0
150,14.0
151,18.0
152,6.0
153,10.0
154,10.0
155,8.0
156,18.0
157,16.0
158,8.0
159,10.0
160,26.0
161,14.0
162,10.0
163,8.0
164,14.0
165,4.0
166,6.0
167,6.0
168,2.0
169,10.0
170,16.0
171,14.0
172,10.0
173,14.0
174,10.0
175,8.0
176,10.0
177,18.0
178,14.0
179,8.0
180,10.0
181,11.0
182,8.0
183,16.0
184,8.0
185,16.0
186,17.0
187,10.0
188,10.0
189,10.0
190,8.0
191,12.0
192,10.0
193,8.0
194,12.0
195,10.0
196,8.0
197,4.0
198,12.0
199,10.0
200,8.0
201,8.0
202,2.0
203,8.0
204,6.0
205,16.0
206,12.0
207,6.0
208,21.0
209,6.0
210,8.0
211,14.0
212,40.0
213,8.0
214,12.0
215,10.0
216,6.0
217,16.0
218,12.0
219,10.0
220,6.0
221,10.0
222,8.0
223,8.0
224,10.0
225,12.0
226,12.0
227,14.0
228,16.0
229,8.0
230,17.0
231,17.0
232,10.0
233,12.0
234,14.0
235,10.0
236,10.0
237,12.0
238,14.0
239,10.0
240,14.0
241,18.0
242,8.0
243,8.0
244,12.0
245,4.0
246,4.0
247,8.0
248,10.0
249,28.0
250,22.0
251,10.0
252,2.0
253,10.0
254,10.0
255,8.0
256,8.0
257,6.0
258,8.0
259,10.0
260,12.0
261,20.0
262,22.0
263,6.0
264,8.0
265,12.0
266,10.0
267,8.0
268,6.0
269,14.0
270,16.0
271,12.0
272,12.0
273,20.0
274,20.0
275,10.0
276,10.0
277,14.0
278,4.0
279,22.0
280,4.0
281,18.0
282,18.0
283,8.0
284,16.0
285,16.0
286,8.0
287,10.0
288,10.0
289,12.0
290,8.0
291,10.0
292,8.0
293,4.0
294,18.0
295,10.0
296,22.0
297,8.0
298,4.0
299,10.0
300,8.0
301,4.0
302,8.0
303,14.0
304,2.0
305,14.0
306,12.0
307,16.0
308,6.0
309,8.0
310,10.0
311,16.0
312,10.0
313,10.0
314,6.0
315,12.0
316,12.0
317,20.0
318,6.0
319,8.0
320,14.0
321,8.0
322,16.0
323,10.0
324,10.0
325,10.0
326,14.0
327,10.0
328,18.0
329,6.0
330,10.0
331,6.0
332,6.0
333,8.0
334,4.0
335,4.0
336,18.0
337,10.0
338,4.0
339,10.0
340,10.0
341,10.0
342,14.0
343,12.0
344,6.0
345,12.0
346,6.0
347,0.0
348,8.0
349,18.0
350,14.0
351,18.0
352,16.0
353,8.0
354,12.0
355,8.0
356,6.0
357,18.0
358,10.0
359,12.0
360,8.0
361,14.0
362,20.0
363,14.0
364,6.0
365,14.0
366,10.0
367,14.0
368,6.0
369,6.0
370,18.0
371,6.0
372,8.0
373,12.0
374,14.0
375,10.0
376,4.0
377,10.0
378,4.0
379,16.0
380,14.0
381,4.0
382,8.0
383,14.0
384,6.0
385,8.0
386,16.0
387,28.0
388,18.0
389,10.0
390,12.0
391,12.0
392,10.0
393,4.0
394,10.0
395,8.0
396,8.0
397,10.0
398,26.0
399,12.0
400,16.0
401,16.0
402,12.0
403,16.0
404,18.0
405,10.0
406,24.0
407,6.0
408,10.0
409,20.0
410,20.0
411,16.0
412,8.0
413,14.0
414,16.0
415,16.0
416,8.0
417,6.0
418,6.0
419,10.0
420,12.0
421,14.0
422,10.0
423,6.0
424,14.0
425,28.0
426,2.0
427,14.0
428,6.0
429,4.0
430,8.0
431,6.0
432,4.0
433,6.0
434,8.0
435,4.0
436,16.0
437,16.0
438,12.0
439,12.0
440,18.0
441,10.0
442,12.0
443,10.0
444,20.0
445,6.0
446,12.0
447,10.0
448,6.0
449,6.0
450,16.0
451,4.0
452,10.0
453,8.0
454,6.0
455,10.0
456,18.0
457,10.0
458,6.0
459,8.0
460,16.0
461,16.0
462,16.0
463,10.0
464,16.0
465,12.0
466,6.0
467,12.0
468,12.0
469,8.0
470,12.0
471,2.0
472,8.0
473,10.0
474,8.0
475,14.0
476,8.0
477,10.0
478,6.0
479,4.0
480,6.0
481,14.0
482,16.0
483,8.0
484,6.0
485,12.0
486,8.0
487,14.0
488,8.0
489,14.0
490,10.0
491,12.0
492,6.0
493,8.0
494,8.0
495,16.0
496,6.0
497,20.0
498,12.0
499,10.0
500,4.0
501,28.0
502,12.0
503,10.0
504,10.0
505,8.0
506,8.0
507,14.0
508,6.0
509,14.0
510,10.0
511,6.0
512,12.0
513,10.0
514,14.0
515,6.0
516,14.0
517,6.0
518,8.0
519,12.0
520,12.0
521,14.0
522,14.0
523,30.0
524,4.0
525,2.0
526,12.0
527,6.0
528,14.0
529,6.0
530,8.0
531,14.0
532,6.0
533,12.0
534,12.0
535,6.0
536,12.0
537,18.0
538,10.0
539,4.0
540,6.0
541,12.0
542,10.0
543,6.0
544,6.0
545,0.0
546,10.0
547,8.0
548,2.0
549,12.0
550,8.0
551,18.0
552,10.0
553,8.0
554,18.0
555,6.0
556,6.0
557,20.0
558,14.0
559,10.0
560,10.0
561,16.0
562,10.0
563,18.0
564,16.0
565,12.0
566,6.0
567,10.0
568,14.0
569,14.0
570,10.0
571,10.0
572,18.0
573,8.0
574,4.0
575,8.0
576,14.0
577,12.0
578,20.0
579,12.0
580,10.0
581,10.0
582,16.0
583,16.0
584,8.0
585,6.0
586,12.0
587,6.0
588,12.0
589,2.0
590,8.0
591,12.0
592,10.0
593,4.0
594,10.0
595,12.0
596,8.0
597,6.0
598,4.0
599,6.0
600,18.0
601,10.0
602,8.0
603,12.0
604,8.0
605,16.0
606,14.0
607,8.0
608,16.0
609,8.0
610,12.0
611,14.0
612,12.0
613,20.0
614,16.0
615,8.0
616,6.0
617,16.0
618,8.0
619,14.0
620,8.0
621,18.0
622,4.0
623,6.0
624,10.0
625,24.0
626,6.0
627,4.0
628,6.0
629,20.0
630,4.0
631,12.0
632,8.0
633,8.0
634,10.0
635,16.0
636,12.0
637,12.0
638,14.0
639,14.0
640,14.0
641,10.0
642,8.0
643,14.0
644,10.0
645,10.0
646,20.0
647,10.0
648,14.0
649,10.0
650,16.0
651,10.0
652,14.0
653,8.0
654,8.0
655,4.0
656,16.0
657,10.0
658,14.0
659,10.0
660,12.0
661,8.0
662,2.0
663,10.0
664,20.0
665,10.0
666,6.0
667,6.0
668,8.0
669,8.0
670,12.0
671,18.0
672,8.0
673,12.0
674,14.0
675,10.0
676,8.0
677,8.0
678,6.0
679,6.0
680,22.0
681,4.0
682,6.0
683,8.0
684,8.0
685,14.0
686,16.0
687,8.0
688,8.0
689,14.0
690,12.0
691,12.0
692,20.0
693,4.0
694,24.0
695,10.0
696,6.0
697,12.0
698,16.0
699,16.0
700,6.0
701,18.0
702,14.0
703,8.0
704,16.0
705,10.0
706,4.0
707,10.0
708,4.0
709,8.0
710,14.0
711,8.0
712,12.0
713,8.0
714,14.0
715,10.0
716,8.0
717,12.0
718,16.0
719,14.0
720,10.0
721,4.0
722,10.0
723,14.0
724,14.0
725,4.0
726,22.0
727,12.0
728,10.0
729,4.0
730,28.0
731,16.0
732,10.0
733,10.0
734,8.0
735,12.0
736,14.0
737,10.0
738,10.0
739,10.0
740,6.0
741,22.0
742,14.0
743,8.0
